file_name,tumor_type,image_id,seed_ann_id,base_size,map_median,mad_scale,mpp,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,match_radius_px,read_50,read_80,read_90,read_95,read_99,read_100,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget,precision_at_budget
013.tiff,human breast cancer,13,254,31,-0.00496,0.11097,0.22632094805310524,mask_od_mean,mask_od_mean,True,-1.5,True,False,17,15,17656,0.9619,15,2,0.0,1.0,33.139,41.0,104.0,255.0,258.0,258.0,258.0,50,50,10,4,0.5882352941176471,0.2
013.tiff,human breast cancer,13,254,31,-0.00496,0.11097,0.22632094805310524,od_contrast,od_contrast,True,-1.5,True,False,17,15,17656,0.9619,15,2,0.0,1.0,33.139,24.0,76.0,136.0,181.0,181.0,181.0,10,10,4,2,0.23529411764705882,0.4
013.tiff,human breast cancer,13,254,31,-0.00496,0.11097,0.22632094805310524,od_contrast,od_contrast,True,-1.5,True,False,17,15,17656,0.9619,15,2,0.0,1.0,33.139,24.0,76.0,136.0,181.0,181.0,181.0,20,20,7,2,0.4117647058823529,0.35
013.tiff,human breast cancer,13,254,31,-0.00496,0.11097,0.22632094805310524,od_contrast,od_contrast,True,-1.5,True,False,17,15,17656,0.9619,15,2,0.0,1.0,33.139,24.0,76.0,136.0,181.0,181.0,181.0,30,30,10,2,0.5882352941176471,0.3333333333333333
013.tiff,human breast cancer,13,254,31,-0.00496,0.11097,0.22632094805310524,od_contrast,od_contrast,True,-1.5,True,False,17,15,17656,0.9619,15,2,0.0,1.0,33.139,24.0,76.0,136.0,181.0,181.0,181.0,50,50,13,4,0.7647058823529411,0.26
094.tiff,human breast cancer,94,2512,25,-0.00341,0.04558,0.22984761284250915,tm_score,score,True,-1.5,True,False,81,102,18628,0.9748,102,2,0.0,1.0,32.63,226.0,843.0,1223.0,1431.0,2645.0,2645.0,10,10,4,5,0.04938271604938271,0.4
094.tiff,human breast cancer,94,2512,25,-0.00341,0.04558,0.22984761284250915,tm_score,score,True,-1.5,True,False,81,102,18628,0.9748,102,2,0.0,1.0,32.63,226.0,843.0,1223.0,1431.0,2645.0,2645.0,20,20,10,7,0.12345679012345678,0.5
094.tiff,human breast cancer,94,2512,25,-0.00341,0.04558,0.22984761284250915,tm_score,score,True,-1.5,True,False,81,102,18628,0.9748,102,2,0.0,1.0,32.63,226.0,843.0,1223.0,1431.0,2645.0,2645.0,30,30,16,9,0.19753086419753085,0.5333333333333333
094.tiff,human breast cancer,94,2512,25,-0.00341,0.04558,0.22984761284250915,tm_score,score,True,-1.5,True,False,81,102,18628,0.9748,102,2,0.0,1.0,32.63,226.0,843.0,1223.0,1431.0,2645.0,2645.0,50,50,22,13,0.2716049382716049,0.44
094.tiff,human breast cancer,94,2512,25,-0.00341,0.04558,0.22984761284250915,chromatin_od,od51,True,-1.5,True,False,81,102,18628,0.9748,102,2,0.0,1.0,32.63,75.0,402.0,627.0,881.0,5358.0,5358.0,10,10,5,5,0.06172839506172839,0.5
094.tiff,human breast cancer,94,2512,25,-0.00341,0.04558,0.22984761284250915,chromatin_od,od51,True,-1.5,True,False,81,102,18628,0.9748,102,2,0.0,1.0,32.63,75.0,402.0,627.0,881.0,5358.0,5358.0,20,20,15,5,0.18518518518518517,0.75
094.tiff,human breast cancer,94,2512,25,-0.00341,0.04558,0.22984761284250915,chromatin_od,od51,True,-1.5,True,False,81,102,18628,0.9748,102,2,0.0,1.0,32.63,75.0,402.0,627.0,881.0,5358.0,5358.0,30,30,20,9,0.24691358024691357,0.6666666666666666
094.tiff,human breast cancer,94,2512,25,-0.00341,0.04558,0.22984761284250915,chromatin_od,od51,True,-1.5,True,False,81,102,18628,0.9748,102,2,0.0,1.0,32.63,75.0,402.0,627.0,881.0,5358.0,5358.0,50,50,32,15,0.3950617283950617,0.64
094.tiff,human breast cancer,94,2512,25,-0.00341,0.04558,0.22984761284250915,od31,od31,True,-1.5,True,False,81,102,18628,0.9748,102,2,0.0,1.0,32.63,66.0,240.0,692.0,1092.0,2658.0,2658.0,10,10,5,5,0.06172839506172839,0.5
094.tiff,human breast cancer,94,2512,25,-0.00341,0.04558,0.22984761284250915,od31,od31,True,-1.5,True,False,81,102,18628,0.9748,102,2,0.0,1.0,32.63,66.0,240.0,692.0,1092.0,2658.0,2658.0,20,20,12,7,0.14814814814814814,0.6
094.tiff,human breast cancer,94,2512,25,-0.00341,0.04558,0.22984761284250915,od31,od31,True,-1.5,True,False,81,102,18628,0.9748,102,2,0.0,1.0,32.63,66.0,240.0,692.0,1092.0,2658.0,2658.0,30,30,20,9,0.24691358024691357,0.6666666666666666
094.tiff,human breast cancer,94,2512,25,-0.00341,0.04558,0.22984761284250915,od31,od31,True,-1.5,True,False,81,102,18628,0.9748,102,2,0.0,1.0,32.63,66.0,240.0,692.0,1092.0,2658.0,2658.0,50,50,33,15,0.4074074074074074,0.66
094.tiff,human breast cancer,94,2512,25,-0.00341,0.04558,0.22984761284250915,od_falloff,od_falloff,True,-1.5,True,False,81,102,18628,0.9748,102,2,0.0,1.0,32.63,101.0,311.0,670.0,1170.0,3105.0,3105.0,10,10,5,3,0.06172839506172839,0.5
094.tiff,human breast cancer,94,2512,25,-0.00341,0.04558,0.22984761284250915,od_falloff,od_falloff,True,-1.5,True,False,81,102,18628,0.9748,102,2,0.0,1.0,32.63,101.0,311.0,670.0,1170.0,3105.0,3105.0,20,20,10,7,0.12345679012345678,0.5
094.tiff,human breast cancer,94,2512,25,-0.00341,0.04558,0.22984761284250915,od_falloff,od_falloff,True,-1.5,True,False,81,102,18628,0.9748,102,2,0.0,1.0,32.63,101.0,311.0,670.0,1170.0,3105.0,3105.0,30,30,13,12,0.16049382716049382,0.43333333333333335
094.tiff,human breast cancer,94,2512,25,-0.00341,0.04558,0.22984761284250915,od_falloff,od_falloff,True,-1.5,True,False,81,102,18628,0.9748,102,2,0.0,1.0,32.63,101.0,311.0,670.0,1170.0,3105.0,3105.0,50,50,21,17,0.25925925925925924,0.42
094.tiff,human breast cancer,94,2512,25,-0.00341,0.04558,0.22984761284250915,mask_od_mean,mask_od_mean,True,-1.5,True,False,81,102,18628,0.9748,102,2,0.0,1.0,32.63,88.0,460.0,869.0,1195.0,2410.0,2410.0,10,10,3,4,0.037037037037037035,0.3
094.tiff,human breast cancer,94,2512,25,-0.00341,0.04558,0.22984761284250915,mask_od_mean,mask_od_mean,True,-1.5,True,False,81,102,18628,0.9748,102,2,0.0,1.0,32.63,88.0,460.0,869.0,1195.0,2410.0,2410.0,20,20,8,5,0.09876543209876543,0.4
094.tiff,human breast cancer,94,2512,25,-0.00341,0.04558,0.22984761284250915,mask_od_mean,mask_od_mean,True,-1.5,True,False,81,102,18628,0.9748,102,2,0.0,1.0,32.63,88.0,460.0,869.0,1195.0,2410.0,2410.0,30,30,14,6,0.1728395061728395,0.4666666666666667
094.tiff,human breast cancer,94,2512,25,-0.00341,0.04558,0.22984761284250915,mask_od_mean,mask_od_mean,True,-1.5,True,False,81,102,18628,0.9748,102,2,0.0,1.0,32.63,88.0,460.0,869.0,1195.0,2410.0,2410.0,50,50,22,13,0.2716049382716049,0.44
094.tiff,human breast cancer,94,2512,25,-0.00341,0.04558,0.22984761284250915,od_contrast,od_contrast,True,-1.5,True,False,81,102,18628,0.9748,102,2,0.0,1.0,32.63,87.0,442.0,755.0,968.0,5859.0,5859.0,10,10,5,5,0.06172839506172839,0.5
094.tiff,human breast cancer,94,2512,25,-0.00341,0.04558,0.22984761284250915,od_contrast,od_contrast,True,-1.5,True,False,81,102,18628,0.9748,102,2,0.0,1.0,32.63,87.0,442.0,755.0,968.0,5859.0,5859.0,20,20,15,5,0.18518518518518517,0.75
094.tiff,human breast cancer,94,2512,25,-0.00341,0.04558,0.22984761284250915,od_contrast,od_contrast,True,-1.5,True,False,81,102,18628,0.9748,102,2,0.0,1.0,32.63,87.0,442.0,755.0,968.0,5859.0,5859.0,30,30,22,8,0.2716049382716049,0.7333333333333333
094.tiff,human breast cancer,94,2512,25,-0.00341,0.04558,0.22984761284250915,od_contrast,od_contrast,True,-1.5,True,False,81,102,18628,0.9748,102,2,0.0,1.0,32.63,87.0,442.0,755.0,968.0,5859.0,5859.0,50,50,32,13,0.3950617283950617,0.64
201.tiff,canine lung cancer,201,4457,51,-0.02898,0.60896,0.24816562612969095,tm_score,score,True,-1.5,True,False,17,49,15779,0.9372,49,2,0.0,1.0,30.222,44.0,215.0,261.0,726.0,726.0,726.0,10,10,3,1,0.17647058823529413,0.3
201.tiff,canine lung cancer,201,4457,51,-0.02898,0.60896,0.24816562612969095,tm_score,score,True,-1.5,True,False,17,49,15779,0.9372,49,2,0.0,1.0,30.222,44.0,215.0,261.0,726.0,726.0,726.0,20,20,6,1,0.35294117647058826,0.3
201.tiff,canine lung cancer,201,4457,51,-0.02898,0.60896,0.24816562612969095,tm_score,score,True,-1.5,True,False,17,49,15779,0.9372,49,2,0.0,1.0,30.222,44.0,215.0,261.0,726.0,726.0,726.0,30,30,6,3,0.35294117647058826,0.2
201.tiff,canine lung cancer,201,4457,51,-0.02898,0.60896,0.24816562612969095,tm_score,score,True,-1.5,True,False,17,49,15779,0.9372,49,2,0.0,1.0,30.222,44.0,215.0,261.0,726.0,726.0,726.0,50,50,11,6,0.6470588235294118,0.22
201.tiff,canine lung cancer,201,4457,51,-0.02898,0.60896,0.24816562612969095,chromatin_od,od51,True,-1.5,True,False,17,49,15779,0.9372,49,2,0.0,1.0,30.222,26.0,97.0,142.0,662.0,662.0,662.0,10,10,3,1,0.17647058823529413,0.3
201.tiff,canine lung cancer,201,4457,51,-0.02898,0.60896,0.24816562612969095,chromatin_od,od51,True,-1.5,True,False,17,49,15779,0.9372,49,2,0.0,1.0,30.222,26.0,97.0,142.0,662.0,662.0,662.0,20,20,6,3,0.35294117647058826,0.3
201.tiff,canine lung cancer,201,4457,51,-0.02898,0.60896,0.24816562612969095,chromatin_od,od51,True,-1.5,True,False,17,49,15779,0.9372,49,2,0.0,1.0,30.222,26.0,97.0,142.0,662.0,662.0,662.0,30,30,9,7,0.5294117647058824,0.3
201.tiff,canine lung cancer,201,4457,51,-0.02898,0.60896,0.24816562612969095,chromatin_od,od51,True,-1.5,True,False,17,49,15779,0.9372,49,2,0.0,1.0,30.222,26.0,97.0,142.0,662.0,662.0,662.0,50,50,10,11,0.5882352941176471,0.2
201.tiff,canine lung cancer,201,4457,51,-0.02898,0.60896,0.24816562612969095,od31,od31,True,-1.5,True,False,17,49,15779,0.9372,49,2,0.0,1.0,30.222,49.0,116.0,213.0,1279.0,1279.0,1279.0,10,10,4,1,0.23529411764705882,0.4
201.tiff,canine lung cancer,201,4457,51,-0.02898,0.60896,0.24816562612969095,od31,od31,True,-1.5,True,False,17,49,15779,0.9372,49,2,0.0,1.0,30.222,49.0,116.0,213.0,1279.0,1279.0,1279.0,20,20,7,1,0.4117647058823529,0.35
201.tiff,canine lung cancer,201,4457,51,-0.02898,0.60896,0.24816562612969095,od31,od31,True,-1.5,True,False,17,49,15779,0.9372,49,2,0.0,1.0,30.222,49.0,116.0,213.0,1279.0,1279.0,1279.0,30,30,7,5,0.4117647058823529,0.23333333333333334
201.tiff,canine lung cancer,201,4457,51,-0.02898,0.60896,0.24816562612969095,od31,od31,True,-1.5,True,False,17,49,15779,0.9372,49,2,0.0,1.0,30.222,49.0,116.0,213.0,1279.0,1279.0,1279.0,50,50,9,12,0.5294117647058824,0.18
201.tiff,canine lung cancer,201,4457,51,-0.02898,0.60896,0.24816562612969095,od_falloff,od_falloff,True,-1.5,True,False,17,49,15779,0.9372,49,2,0.0,1.0,30.222,92.0,606.0,1783.0,2110.0,2110.0,2110.0,10,10,3,1,0.17647058823529413,0.3
201.tiff,canine lung cancer,201,4457,51,-0.02898,0.60896,0.24816562612969095,od_falloff,od_falloff,True,-1.5,True,False,17,49,15779,0.9372,49,2,0.0,1.0,30.222,92.0,606.0,1783.0,2110.0,2110.0,2110.0,20,20,3,3,0.17647058823529413,0.15
