subset,domain,file_name,pair,K,delta_tp_s0,delta_tp_s1,delta_tp_s2,delta_tp_sum,delta_precision_sum
original_14,canine lung cancer,233.tiff,gray_bbox - default_51,20,0,0,0,0,0.0
testing_35,canine lung cancer,211.tiff,gray_bbox - default_51,20,0,0,0,0,0.0
testing_35,canine lung cancer,220.tiff,gray_bbox - default_51,20,0,1,0,1,0.05
testing_35,canine lung cancer,230.tiff,gray_bbox - default_51,20,0,0,0,0,0.0
testing_35,canine lung cancer,235.tiff,gray_bbox - default_51,20,0,0,1,1,0.05
testing_35,canine lung cancer,242.tiff,gray_bbox - default_51,20,-1,0,0,-1,-0.05
original_14,canine lymphosarcoma,245.tiff,gray_bbox - default_51,20,0,0,2,2,0.1
original_14,canine lymphosarcoma,246.tiff,gray_bbox - default_51,20,-3,0,0,-3,-0.15
testing_35,canine lymphosarcoma,249.tiff,gray_bbox - default_51,20,-1,0,-1,-2,-0.1
testing_35,canine lymphosarcoma,284.tiff,gray_bbox - default_51,20,0,-1,0,-1,-0.05
testing_35,canine lymphosarcoma,289.tiff,gray_bbox - default_51,20,1,-4,-4,-7,-0.35
testing_35,canine lymphosarcoma,291.tiff,gray_bbox - default_51,20,0,0,0,0,0.0
testing_35,canine lymphosarcoma,293.tiff,gray_bbox - default_51,20,5,2,1,8,0.4
original_14,canine soft tissue sarcoma,459.tiff,gray_bbox - default_51,20,0,1,0,1,0.05
original_14,canine soft tissue sarcoma,460.tiff,gray_bbox - default_51,20,0,-3,0,-3,-0.15
testing_35,canine soft tissue sarcoma,410.tiff,gray_bbox - default_51,20,-2,0,-2,-4,-0.2
testing_35,canine soft tissue sarcoma,425.tiff,gray_bbox - default_51,20,0,0,-1,-1,-0.05
testing_35,canine soft tissue sarcoma,435.tiff,gray_bbox - default_51,20,0,-2,0,-2,-0.1
testing_35,canine soft tissue sarcoma,462.tiff,gray_bbox - default_51,20,0,0,0,0,0.0
testing_35,canine soft tissue sarcoma,499.tiff,gray_bbox - default_51,20,-1,-1,0,-2,-0.1
original_14,human breast cancer,013.tiff,gray_bbox - default_51,20,0,-3,-2,-5,-0.25
original_14,human breast cancer,094.tiff,gray_bbox - default_51,20,0,-1,0,-1,-0.05
testing_35,human breast cancer,007.tiff,gray_bbox - default_51,20,1,0,0,1,0.05
testing_35,human breast cancer,072.tiff,gray_bbox - default_51,20,-4,-4,-1,-9,-0.45
testing_35,human breast cancer,100.tiff,gray_bbox - default_51,20,0,0,-1,-1,-0.05
testing_35,human breast cancer,123.tiff,gray_bbox - default_51,20,-1,-2,-1,-4,-0.2
testing_35,human breast cancer,128.tiff,gray_bbox - default_51,20,-1,-1,-2,-4,-0.2
original_14,human melanoma,529.tiff,gray_bbox - default_51,20,-1,0,-5,-6,-0.3
original_14,human melanoma,548.tiff,gray_bbox - default_51,20,-2,-2,-1,-5,-0.25
testing_35,human melanoma,509.tiff,gray_bbox - default_51,20,0,-1,0,-1,-0.05
testing_35,human melanoma,524.tiff,gray_bbox - default_51,20,-2,0,-1,-3,-0.15
testing_35,human melanoma,527.tiff,gray_bbox - default_51,20,-2,-1,-1,-4,-0.2
testing_35,human melanoma,546.tiff,gray_bbox - default_51,20,1,2,0,3,0.15
testing_35,human melanoma,549.tiff,gray_bbox - default_51,20,-1,-3,0,-4,-0.2
original_14,human neuroendocrine tumor,402.tiff,gray_bbox - default_51,20,-2,1,-2,-3,-0.15
original_14,human neuroendocrine tumor,403.tiff,gray_bbox - default_51,20,0,2,-3,-1,-0.05
testing_35,human neuroendocrine tumor,353.tiff,gray_bbox - default_51,20,2,-3,-2,-3,-0.15
testing_35,human neuroendocrine tumor,364.tiff,gray_bbox - default_51,20,-1,0,0,-1,-0.05
testing_35,human neuroendocrine tumor,400.tiff,gray_bbox - default_51,20,-2,0,0,-2,-0.1
testing_35,human neuroendocrine tumor,401.tiff,gray_bbox - default_51,20,-2,-1,-2,-5,-0.25
testing_35,human neuroendocrine tumor,404.tiff,gray_bbox - default_51,20,0,-1,0,-1,-0.05
original_14,canine cutaneous mast cell tumor,300.tiff,gray_bbox - default_51,30,0,2,1,3,0.1
original_14,canine cutaneous mast cell tumor,301.tiff,gray_bbox - default_51,30,1,1,8,10,0.3333333333333333
testing_35,canine cutaneous mast cell tumor,322.tiff,gray_bbox - default_51,30,-4,1,-2,-5,-0.16666666666666666
testing_35,canine cutaneous mast cell tumor,337.tiff,gray_bbox - default_51,30,1,0,-1,0,0.0
testing_35,canine cutaneous mast cell tumor,339.tiff,gray_bbox - default_51,30,0,0,0,0,0.0
testing_35,canine cutaneous mast cell tumor,343.tiff,gray_bbox - default_51,30,-1,1,-6,-6,-0.2
testing_35,canine cutaneous mast cell tumor,344.tiff,gray_bbox - default_51,30,-1,0,2,1,0.03333333333333333
original_14,canine lung cancer,201.tiff,gray_bbox - default_51,30,0,-1,0,-1,-0.03333333333333333
original_14,canine lung cancer,233.tiff,gray_bbox - default_51,30,1,0,1,2,0.06666666666666667
testing_35,canine lung cancer,211.tiff,gray_bbox - default_51,30,0,0,0,0,0.0
testing_35,canine lung cancer,220.tiff,gray_bbox - default_51,30,0,1,0,1,0.03333333333333333
testing_35,canine lung cancer,230.tiff,gray_bbox - default_51,30,0,-1,0,-1,-0.03333333333333333
testing_35,canine lung cancer,235.tiff,gray_bbox - default_51,30,-1,2,-1,0,0.0
testing_35,canine lung cancer,242.tiff,gray_bbox - default_51,30,-1,0,0,-1,-0.03333333333333333
original_14,canine lymphosarcoma,245.tiff,gray_bbox - default_51,30,0,0,2,2,0.06666666666666667
original_14,canine lymphosarcoma,246.tiff,gray_bbox - default_51,30,-2,0,0,-2,-0.06666666666666667
testing_35,canine lymphosarcoma,249.tiff,gray_bbox - default_51,30,-1,0,-2,-3,-0.1
testing_35,canine lymphosarcoma,284.tiff,gray_bbox - default_51,30,2,-1,-1,0,0.0
